R908402,R659473
R127510,R447886
R929776,R614204
R676498,R712940
R400225,R313707
R727747,R237315
R897374,R632053
R523562,R318193
R104097,R425287
R730525,R693844
R762689,R162912
R808912,R447430
R126405,R972787
R134879,R774606
R455792,R430221
R465487,R688256
R660142,R576218
R317105,R580638
R836714,R827513
R680058,R976068
R753627,R433555
R677777,R775499
R437856,R325290
R966770,R779569
R912617,R164551
R851834,R121889
R872861,R852632
R392904,R821158
R599331,R347500
R636504,R239366
R148608,R912221
R137060,R926442
R850647,R474719
R841622,R262535
R908479,R140334
R794141,R775500
R337894,R559326
R793853,R321726
R796776,R907634
R987567,R340363
R768971,R411514
R203434,R284173
R989178,R209742
R218801,R674113
R522948,R785446
R761831,R329186
R537251,R439650
R722332,R764559
R415249,R486486
R877457,R707578
R239663,R179384
R781842,R539023
R944433,R630753
R383038,R388674
R162171,R825304
R172602,R766350
R556012,R964314
R207228,R725140
R815750,R777834
R341485,R444768
R328428,R319019
R864105,R699892
R786809,R375705
R572671,R886838
R659154,R916224
R515084,R207301
R706440,R614859
R335917,R230788
R887221,R563553
R882346,R486455
R707945,R616641
R860346,R795968
R240256,R102073
R759203,R691916
R179140,R139453
R514956,R174947
R420255,R580268
R229537,R455573
R903213,R598882
R732989,R791350
R412281,R905303
R419497,R236277
R774920,R977311
R528991,R935119
R259246,R948275
R665929,R533276
R594072,R494255
R896285,R600293
R309468,R571933
R941284,R620274
R342033,R612094
R496984,R497879
R787774,R928389
R834200,R378656
R959077,R700003
R105633,R265962
R703987,R948521
R887150,R571241
R606620,R119294
R360438,R358121
R220423,R888393
R278413,R384290
R941187,R393376
R882317,R720264
R370856,R624568
R227298,R587257
R939505,R458538
R677399,R746640
R985857,R268480
R683099,R300741
R372239,R303655
R943968,R912363
R357309,R218633
R863478,R581741
R590124,R830587
R825545,R530069
R334787,R908471
R155784,R704950
R185562,R207074
R849610,R688822
R589663,R217987
R517376,R533437
R794452,R296621
R631271,R446553
R398240,R427491
R356327,R198790
R529077,R699376
R567315,R370364
R929769,R420931
R957773,R284167
R626462,R479233
R225025,R891866
R111840,R313958
R671604,R669582
R842506,R469439
R761133,R878214
R776490,R995720
R282242,R576508
R870736,R149295
R692157,R625989
R471377,R229246
R660989,R819360
R538008,R378205
R535177,R739184
R604646,R930995
R103555,R140957
R460979,R370644
R759305,R234203
R520076,R226657
R523429,R398591
R909371,R834193
R271665,R168935
R615252,R138712
R539515,R298166
R603742,R217783
R299585,R449371
R869513,R626139
R734481,R818523
R565115,R138120
R416230,R260163
R798343,R680679
R624170,R590201
R428589,R858084
R112283,R651555
R168794,R348384
R522402,R992336
R430131,R101419
R400015,R897564
R747005,R209450
R179979,R177141
R988129,R171281
R479535,R807694
R968268,R493179
R638541,R837849
R287836,R483999
R221569,R997927
R838587,R547959
R604110,R106765
R345308,R464948
R330838,R985336
R347690,R233597
R145387,R428142
R852353,R113017
R605140,R445301
R280686,R719272
R406240,R200447
R220415,R723198
R191891,R190792
R257149,R727806
R908691,R807763
R749350,R420587
R904872,R344255
R526863,R260042
R858059,R921455
R709092,R965030
R430422,R476331
R948722,R883077
R237861,R909932
R264737,R885710
R945843,R626127
R800259,R452650
R100559,R170617
R962929,R426520
R907160,R200508
R442787,R722182
R175552,R783827
R186044,R564476
R613473,R598256
R888291,R166224
R829559,R483222
R569399,R401057
R726422,R884032
R900728,R616344
R700156,R587725
R502666,R272893
R377553,R912852
R826247,R708989
R287419,R650891
R693324,R555736
R670271,R375994
R722381,R528766
R685252,R601850
R155694,R774167
R416160,R530545
R592926,R953787
R804942,R230724
R483183,R861879
R151749,R489254
R857721,R370138
R849697,R582907
R161143,R593213
R838752,R652802
R472681,R584085
R438142,R409239
R721309,R526596
R312184,R437374
R427711,R426000
R927626,R871194
R985795,R866478
R910745,R310740
R148259,R474987
R410374,R806805
R290017,R493037
R549013,R871450
R733784,R634933
R806972,R853772
R288741,R411437
R667899,R657899
R627418,R923883
R425671,R141099
R440321,R933818
R332857,R817058
R478530,R946196
R899310,R722196
R319930,R815928
R985859,R369928
R295695,R665347
R176777,R784170
R287040,R646404
R271488,R956285
R180893,R890815
R190149,R118613
R796560,R989014
R264760,R927110
R713762,R650591
R133462,R848002
R551817,R574455
R388913,R752353
R570680,R655606
R290089,R278949
R904700,R234242
R774620,R658812
R706171,R790583
R850571,R903239
R348906,R655304
R903238,R669849
R183824,R321599
R751761,R311115
R537905,R170558
R995491,R473689
R528994,R957971
R350498,R749147
R326480,R947522
R841579,R440778
R688210,R552422
R610428,R703564
R804758,R859241
R642714,R245500
R483215,R137083
R878069,R718529
R256194,R668510
R255070,R165594
R146615,R891977
R846724,R188845
R228804,R339297
R774162,R568270
R888351,R710147
R718766,R244164
R883953,R402497
R156186,R522871
R499390,R600874
R442139,R675950
R813115,R838521
R971130,R464844
R506625,R418930
R255521,R461356
R601461,R120986
R709502,R490386
R667384,R346625
R416885,R589872
R984381,R929055
R263006,R881964
R238497,R786263
R821610,R288195
R477708,R932973
R462667,R621743
R307007,R386420
R644495,R902480
R478234,R640190
R222262,R527147
R131439,R628246
R968781,R839074
R943782,R244623
R661105,R707286
R963271,R362082
R519363,R409176
R141434,R146392
R775796,R187010
R240455,R100762
R855765,R841730
R265076,R543431
R399328,R730953
R198324,R679766
R821594,R817583
R812318,R999180
R130763,R750253
R925933,R427327
R162420,R425166
R144962,R429362
R646186,R430192
R856916,R556169
R246006,R777372
R527772,R847299
R883848,R364657
R435939,R161138
R534815,R496875
R382703,R665395
R963572,R821109
R959751,R646004
R691982,R587867
R120406,R112481
R160259,R549625
R163296,R831400
R138019,R585349
R843578,R988538
R222409,R983573
R122572,R123197
R506700,R297994
R206503,R411465
R220315,R484086
R341569,R478800
R635219,R490522
R465502,R913566
R939834,R379535
R462398,R346248
R750508,R277539
R759169,R517951
R798104,R327530
R764423,R828707
R277714,R194158
R569043,R509613
R377140,R761926
R195466,R411399
R286356,R307203
R362798,R128177
R211795,R851507
R981175,R332311
R231143,R544045
R366727,R821557
R394520,R425354
R146482,R386939
R703168,R745045
R550799,R147162
R613724,R105309
R155098,R867034
R263540,R104091
