R472544,R757887
R992500,R459355
R456696,R442167
R502141,R163674
R709791,R735580
R797800,R157798
R549013,R871450
R150714,R895328
R202308,R132147
R513615,R404227
R654500,R912412
R915755,R887117
R650071,R963142
R971248,R113957
R592139,R112888
R585968,R534378
R618197,R231211
R871752,R264752
R236845,R320736
R659262,R114781
R884012,R498313
R855223,R257967
R983597,R427731
R874268,R251696
R855324,R901883
R907148,R741110
R750072,R200173
R370569,R468774
R837820,R842198
R332304,R680867
R430933,R858503
R878721,R534946
R901296,R295691
R706969,R958717
R112408,R732338
R992672,R626011
R741933,R418431
R883145,R455833
R928337,R589907
R285896,R263173
R307672,R589278
R277159,R812736
R775665,R536224
R801982,R724709
R797975,R209204
R753020,R349959
R896032,R802577
R667037,R405714
R369721,R282781
R274659,R709731
R673861,R439249
R313280,R803707
R249114,R860599
R359774,R929576
R934888,R819633
R870117,R693762
R263364,R368667
R368051,R808046
R415680,R820921
R633891,R476827
R694925,R396820
R753586,R196862
R941896,R869543
R181992,R852012
R161483,R419660
R719023,R634262
R894972,R897946
R359138,R805707
R301357,R730732
R823062,R847605
R477538,R817953
R897413,R103342
R844497,R434664
R334182,R458342
R450515,R158957
R342020,R337191
R998145,R196529
R574013,R226524
R564354,R894179
R400961,R556463
R236493,R861744
R763827,R132240
R594466,R240695
R721436,R227761
R422423,R793331
R200474,R322894
R877012,R233833
R300083,R817314
R793970,R808049
R191787,R423882
R605026,R556949
R185707,R361967
R495451,R278854
R609643,R876668
R842396,R385682
R357653,R312302
R589215,R467557
R973385,R319224
R197445,R167952
R918120,R776386
R736858,R244989
R420110,R168452
R450762,R922198
R537003,R543743
R519962,R878336
R632432,R823019
R127088,R680143
R589623,R221942
R146797,R488125
R283216,R648619
R864585,R121302
R209904,R632384
R599887,R313789
R724333,R680905
R391112,R773247
R431131,R898451
R632064,R795244
R322532,R311414
R107839,R198979
R153560,R430189
R781436,R626364
R300157,R470214
R199600,R539032
R965239,R792615
R953206,R717950
R120620,R924724
R317966,R298546
R677777,R775499
R515987,R936547
R433605,R597226
R893693,R890238
R784175,R119639
R950215,R942573
R231942,R656338
R137510,R547806
R348267,R655149
R158826,R831117
R833708,R594080
R264879,R558335
R721164,R994184
R495602,R326414
R819453,R440507
R747255,R735717
R400155,R895797
R940085,R634321
R285504,R274473
R153199,R791432
R445493,R781295
R127071,R131606
R318429,R191993
R231838,R541750
R618585,R205697
R805903,R255960
R463576,R361777
R783919,R319125
R172373,R777912
R301378,R804012
R374239,R446542
R921481,R758375
R977420,R523377
R157033,R788846
R209635,R296466
R869012,R653392
R208467,R692723
R890695,R762622
R108542,R652211
R270838,R916764
R952764,R652038
R308060,R900451
R266448,R962381
R299680,R412185
R282295,R902572
R118484,R375322
R822292,R823653
R777865,R768515
R948331,R291327
R124780,R735469
R210399,R147039
R327893,R749995
R113543,R673286
R296591,R657627
R193208,R880273
R934712,R824876
R159559,R214009
R474606,R284050
R721423,R288022
R307586,R178568
R347009,R799660
R602665,R655915
R348460,R829639
R934376,R747705
R472604,R939945
R407730,R494734
R441678,R584291
R683905,R739325
R721027,R403920
R727653,R941486
R499812,R120138
R614956,R964318
R868881,R725241
R409560,R606303
R898194,R471699
R408624,R625243
R953926,R259333
R563707,R906694
R759187,R662423
R486189,R925028
R412229,R742041
R617997,R479379
R826973,R393074
R837050,R201212
R836332,R755044
R308763,R403671
R367125,R684330
R430418,R828911
R130342,R881277
R103276,R899227
R842775,R302150
R390051,R360575
R187640,R137283
R246633,R770079
R902606,R315701
R105193,R364165
R654423,R214655
R142043,R736873
R431084,R252174
R310153,R328226
R730900,R940989
